iter	Passed	Remaining
0	1	181
1	3	160
2	4	151
3	5	142
4	7	141
5	8	139
6	10	137
7	11	135
8	13	133
9	14	131
10	15	129
11	17	128
12	18	126
13	21	129
14	22	127
15	23	124
16	25	124
17	26	122
18	28	120
19	29	118
20	31	116
21	32	114
22	33	113
23	35	111
24	36	110
25	38	108
26	39	107
27	41	105
28	42	104
29	43	102
30	45	101
31	46	99
32	48	98
33	49	96
34	51	94
35	52	93
36	53	91
37	55	90
38	56	88
39	58	87
40	59	85
41	60	83
42	61	81
43	63	80
44	64	78
45	66	77
46	67	76
47	68	74
48	70	73
49	71	71
50	73	70
51	74	68
52	76	67
53	77	66
54	78	64
55	79	62
56	81	61
57	82	59
58	84	58
59	85	57
60	86	55
61	88	54
62	89	52
63	91	51
64	92	49
65	94	48
66	95	47
67	97	45
68	98	44
69	99	42
70	101	41
71	102	40
72	104	38
73	105	37
74	107	35
75	108	34
76	110	32
77	111	31
78	112	30
79	114	28
80	117	27
81	119	26
82	121	24
83	123	23
84	125	22
85	126	20
86	128	19
87	129	17
88	131	16
89	132	14
90	133	13
91	135	11
92	136	10
93	138	8
94	139	7
95	140	5
96	142	4
97	143	2
98	145	1
99	146	0
